Event Id,Event Type,Event Timestamp,Message Timestamp,Timestamp Raw,Message,AE,Channel ID,Channel / Message Information
"35","ChannelHealth",02-04-2019 3:46:49.308000000pm EEST,02-04-2019 3:46:49.505pm EEST,"1549288009505","Type: ChannelHealth, EventId: 35, EventTime: 2019-02-04 13:46:49.308000000 UTC, ChannelId: 6252, Parent: Japan Exchange Group (JPX), Venue: Tokyo Stock Exchange, Feed: Flex Full, ElementalFeed: Production - Line B, Channel: TSE realtime (Stock - CB) - MCG054 239.194.2.54:52054, NetworkPort: S77-P50, AE: 3, ReportInterval: 60 seconds, ReportMode: On Change, State: CHANNEL_DOWN, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 13:44:48.000277 UTC, Overflow: 0, VlanId: n/a",="3",="6252","TSE realtime (Stock - CB) - MCG054 239.194.2.54:52054,Parent: Japan Exchange Group (JPX), Venue: Tokyo Stock Exchange, Feed: Flex Full, ElementalFeed: Production - Line B, NetworkPort: S77-P50, ReportInterval: 60 seconds, ReportMode: On Change, State: CHANNEL_DOWN, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 13:44:48.000277 UTC, Overflow: 0, VlanId: n/a"
"34","ChannelHealth",02-04-2019 3:46:49.308000000pm EEST,02-04-2019 3:46:49.500pm EEST,"1549288009500","Type: ChannelHealth, EventId: 34, EventTime: 2019-02-04 13:46:49.308000000 UTC, ChannelId: 6251, Parent: Japan Exchange Group (JPX), Venue: Tokyo Stock Exchange, Feed: Flex Full, ElementalFeed: Production - Line B, Channel: TSE realtime (Stock - CB) - MCG053 239.194.2.53:52053, NetworkPort: S77-P50, AE: 3, ReportInterval: 60 seconds, ReportMode: On Change, State: CHANNEL_DOWN, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 13:44:48.000277 UTC, Overflow: 0, VlanId: n/a",="3",="6251","TSE realtime (Stock - CB) - MCG053 239.194.2.53:52053,Parent: Japan Exchange Group (JPX), Venue: Tokyo Stock Exchange, Feed: Flex Full, ElementalFeed: Production - Line B, NetworkPort: S77-P50, ReportInterval: 60 seconds, ReportMode: On Change, State: CHANNEL_DOWN, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 13:44:48.000277 UTC, Overflow: 0, VlanId: n/a"
"33","ChannelHealth",02-04-2019 3:46:49.308000000pm EEST,02-04-2019 3:46:49.500pm EEST,"1549288009500","Type: ChannelHealth, EventId: 33, EventTime: 2019-02-04 13:46:49.308000000 UTC, ChannelId: 6250, Parent: Japan Exchange Group (JPX), Venue: Tokyo Stock Exchange, Feed: Flex Full, ElementalFeed: Production - Line B, Channel: TSE realtime (Stock - CB) - MCG052 239.194.2.52:52052, NetworkPort: S77-P50, AE: 3, ReportInterval: 60 seconds, ReportMode: On Change, State: CHANNEL_DOWN, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 13:44:48.000277 UTC, Overflow: 0, VlanId: n/a",="3",="6250","TSE realtime (Stock - CB) - MCG052 239.194.2.52:52052,Parent: Japan Exchange Group (JPX), Venue: Tokyo Stock Exchange, Feed: Flex Full, ElementalFeed: Production - Line B, NetworkPort: S77-P50, ReportInterval: 60 seconds, ReportMode: On Change, State: CHANNEL_DOWN, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 13:44:48.000277 UTC, Overflow: 0, VlanId: n/a"
"32","ChannelHealth",02-04-2019 3:46:49.308000000pm EEST,02-04-2019 3:46:49.499pm EEST,"1549288009499","Type: ChannelHealth, EventId: 32, EventTime: 2019-02-04 13:46:49.308000000 UTC, ChannelId: 6249, Parent: Japan Exchange Group (JPX), Venue: Tokyo Stock Exchange, Feed: Flex Full, ElementalFeed: Production - Line B, Channel: TSE realtime (Stock - CB) - MCG051 239.194.2.51:52051, NetworkPort: S77-P50, AE: 3, ReportInterval: 60 seconds, ReportMode: On Change, State: CHANNEL_DOWN, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 13:44:48.000277 UTC, Overflow: 0, VlanId: n/a",="3",="6249","TSE realtime (Stock - CB) - MCG051 239.194.2.51:52051,Parent: Japan Exchange Group (JPX), Venue: Tokyo Stock Exchange, Feed: Flex Full, ElementalFeed: Production - Line B, NetworkPort: S77-P50, ReportInterval: 60 seconds, ReportMode: On Change, State: CHANNEL_DOWN, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 13:44:48.000277 UTC, Overflow: 0, VlanId: n/a"
"31","ChannelHealth",02-04-2019 3:46:49.305000000pm EEST,02-04-2019 3:46:49.499pm EEST,"1549288009499","Type: ChannelHealth, EventId: 31, EventTime: 2019-02-04 13:46:49.305000000 UTC, ChannelId: 6238, Parent: Japan Exchange Group (JPX), Venue: Tokyo Stock Exchange, Feed: Flex Full, ElementalFeed: Production - Line A, Channel: Multicast Group Number (Dummy Symbols) - MCG120 239.194.1.120:51120, NetworkPort: S77-P50, AE: 3, ReportInterval: 60 seconds, ReportMode: On Change, State: CHANNEL_DOWN, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 13:44:48.000277 UTC, Overflow: 0, VlanId: n/a",="3",="6238","Multicast Group Number (Dummy Symbols) - MCG120 239.194.1.120:51120,Parent: Japan Exchange Group (JPX), Venue: Tokyo Stock Exchange, Feed: Flex Full, ElementalFeed: Production - Line A, NetworkPort: S77-P50, ReportInterval: 60 seconds, ReportMode: On Change, State: CHANNEL_DOWN, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 13:44:48.000277 UTC, Overflow: 0, VlanId: n/a"
"30","ChannelHealth",02-04-2019 3:46:49.305000000pm EEST,02-04-2019 3:46:49.498pm EEST,"1549288009498","Type: ChannelHealth, EventId: 30, EventTime: 2019-02-04 13:46:49.305000000 UTC, ChannelId: 6237, Parent: Japan Exchange Group (JPX), Venue: Tokyo Stock Exchange, Feed: Flex Full, ElementalFeed: Production - Line A, Channel: TSE realtime (Dummy Symbols) - MCG111 239.194.1.111:51111, NetworkPort: S77-P50, AE: 3, ReportInterval: 60 seconds, ReportMode: On Change, State: CHANNEL_DOWN, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 13:44:48.000277 UTC, Overflow: 0, VlanId: n/a",="3",="6237","TSE realtime (Dummy Symbols) - MCG111 239.194.1.111:51111,Parent: Japan Exchange Group (JPX), Venue: Tokyo Stock Exchange, Feed: Flex Full, ElementalFeed: Production - Line A, NetworkPort: S77-P50, ReportInterval: 60 seconds, ReportMode: On Change, State: CHANNEL_DOWN, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 13:44:48.000277 UTC, Overflow: 0, VlanId: n/a"
"29","ChannelHealth",02-04-2019 3:46:49.305000000pm EEST,02-04-2019 3:46:49.498pm EEST,"1549288009498","Type: ChannelHealth, EventId: 29, EventTime: 2019-02-04 13:46:49.305000000 UTC, ChannelId: 6236, Parent: Japan Exchange Group (JPX), Venue: Tokyo Stock Exchange, Feed: Flex Full, ElementalFeed: Production - Line A, Channel: Multicast Group Number - MCG090 239.194.1.90:51090, NetworkPort: S77-P50, AE: 3, ReportInterval: 60 seconds, ReportMode: On Change, State: CHANNEL_DOWN, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 13:44:48.000277 UTC, Overflow: 0, VlanId: n/a",="3",="6236","Multicast Group Number - MCG090 239.194.1.90:51090,Parent: Japan Exchange Group (JPX), Venue: Tokyo Stock Exchange, Feed: Flex Full, ElementalFeed: Production - Line A, NetworkPort: S77-P50, ReportInterval: 60 seconds, ReportMode: On Change, State: CHANNEL_DOWN, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 13:44:48.000277 UTC, Overflow: 0, VlanId: n/a"
"28","ChannelHealth",02-04-2019 3:46:49.305000000pm EEST,02-04-2019 3:46:49.489pm EEST,"1549288009489","Type: ChannelHealth, EventId: 28, EventTime: 2019-02-04 13:46:49.305000000 UTC, ChannelId: 6235, Parent: Japan Exchange Group (JPX), Venue: Tokyo Stock Exchange, Feed: Flex Full, ElementalFeed: Production - Line A, Channel: Reserved - MCG077 239.194.1.77:51077, NetworkPort: S77-P50, AE: 3, ReportInterval: 60 seconds, ReportMode: On Change, State: CHANNEL_DOWN, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 13:44:48.000277 UTC, Overflow: 0, VlanId: n/a",="3",="6235","Reserved - MCG077 239.194.1.77:51077,Parent: Japan Exchange Group (JPX), Venue: Tokyo Stock Exchange, Feed: Flex Full, ElementalFeed: Production - Line A, NetworkPort: S77-P50, ReportInterval: 60 seconds, ReportMode: On Change, State: CHANNEL_DOWN, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 13:44:48.000277 UTC, Overflow: 0, VlanId: n/a"
"27","ChannelHealth",02-04-2019 3:46:49.305000000pm EEST,02-04-2019 3:46:49.488pm EEST,"1549288009488","Type: ChannelHealth, EventId: 27, EventTime: 2019-02-04 13:46:49.305000000 UTC, ChannelId: 6234, Parent: Japan Exchange Group (JPX), Venue: Tokyo Stock Exchange, Feed: Flex Full, ElementalFeed: Production - Line A, Channel: SSE realtime (Stock - CB) - MCG076 239.194.1.76:51076, NetworkPort: S77-P50, AE: 3, ReportInterval: 60 seconds, ReportMode: On Change, State: CHANNEL_DOWN, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 13:44:48.000277 UTC, Overflow: 0, VlanId: n/a",="3",="6234","SSE realtime (Stock - CB) - MCG076 239.194.1.76:51076,Parent: Japan Exchange Group (JPX), Venue: Tokyo Stock Exchange, Feed: Flex Full, ElementalFeed: Production - Line A, NetworkPort: S77-P50, ReportInterval: 60 seconds, ReportMode: On Change, State: CHANNEL_DOWN, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 13:44:48.000277 UTC, Overflow: 0, VlanId: n/a"
"26","ChannelHealth",02-04-2019 3:46:49.305000000pm EEST,02-04-2019 3:46:49.485pm EEST,"1549288009485","Type: ChannelHealth, EventId: 26, EventTime: 2019-02-04 13:46:49.305000000 UTC, ChannelId: 6233, Parent: Japan Exchange Group (JPX), Venue: Tokyo Stock Exchange, Feed: Flex Full, ElementalFeed: Production - Line A, Channel: Reserved - MCG075 239.194.1.75:51075, NetworkPort: S77-P50, AE: 3, ReportInterval: 60 seconds, ReportMode: On Change, State: CHANNEL_DOWN, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 13:44:48.000277 UTC, Overflow: 0, VlanId: n/a",="3",="6233","Reserved - MCG075 239.194.1.75:51075,Parent: Japan Exchange Group (JPX), Venue: Tokyo Stock Exchange, Feed: Flex Full, ElementalFeed: Production - Line A, NetworkPort: S77-P50, ReportInterval: 60 seconds, ReportMode: On Change, State: CHANNEL_DOWN, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 13:44:48.000277 UTC, Overflow: 0, VlanId: n/a"
